id_customer,productCode,name_product,category,purchase_date,description,quantity_of_product,price,order_id,image
bd537a51-bec3-414e-890f-343abe9f9cf9,795349AADWH8646,حقيبة اليد الواسعة Gucci Jackie صغيرة الحجم,HANDBAGS,7/7/2023,"تُعتبر حقيبة اليد الواسعة صغيرة الحجم هذه الإضافة الأحدث إلى مجموعة Jackie، التي تشعّ أناقةً وسحراً. يتميّز الجلد عالي الجودة بلون Gucci Rosso Ancora بملمس حبيبي متميّز، ويزدان بطبعة GG بتأثير بصري. تسع الحقيبة كل أغراضك اليومية الأساسية، وهي مثالية بفضل حزام الكتف القابل للفصل والتعديل وتصميم المقبض العلوي وإغلاق الخطاف المميّز.",2,2910,1,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1717434945/795349_AADWH_8646_001_062_0000_Light.jpg
bd537a51-bec3-414e-890f-343abe9f9cf9,776556ZAPE24622,بنطال من الصوف والتويد,WOMENS RTW,5/5/2022,"تُضفي غوتشي لمسةً عصرية على التويد من خلال تحديث القماش التقليدي بتصميم ويب المميّز للدار. يمكن ارتداء جاكيتات البلايزر والتنانير المصنوعة من التويد بشكل منفصل أو على شكل بدلة، وهي تنضح بأسلوب تصميم مُفعم بالألوان في المجموعة الجديدة. يظهر هذا البنطال المصنوع من تويد الصوف بظل من اللون الأزرق الباهت، وهو يزدان بزر مغطى بالقماش ذاته لشعار G المتشابك.",1,1100,2,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1700591493/776556_ZAPE2_4622_001_100_0000_Light.jpg
bd537a51-bec3-414e-890f-343abe9f9cf9,8010570PV009511,بوت يصل إلى الكاحل للرجال مزيّن بحلية Horsebit,MENS SHOES,9/12/2022,"لمجموعة خريف وشتاء 2024 للرجال، تزدان التصاميم الأساسية بالتفاصيل الغنية بالرموز. صُنع هذا البوت الذي يصل إلى الكاحل من الجلد السويدي باللون البني المبقّع، وهو يتميّز بحلية Horsebit الاستثنائية بلمسات نهائية باللون الفضي. يكتمل التصميم بنعل مسنن مصنوع من المطاط.",3,1270,3,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1718212627/801057_0PV00_9511_001_100_0000_Light.jpg
c73e8246-0659-4323-9991-c4b6e68989f2,739962XKC9L9189,كارديغان من القطن المحبوك مع رقعة,MENS RTW,2/2/2022,"تمزج مجموعة ما قبل الخريف 2023 من غوتشي ما بين التأثير الأرشيفي وعنصر الوظيفية. والنتيجة قِضّة عصرية تتخللها العناصر التقليدية ورموز الدار. كجزء من المجموعة، يتميّز هذا الكارديغان المصنوع من القطن المحبوك باللون العاجي برقعة شعار G المتشابك وإنتارسيا شريط ويب باللونين الأزرق والأحمر.",1,2600,4,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1684794627/739962_XKC9L_9189_001_100_0000_Light.jpg
44a33598-58fe-4423-97b7-0e9def3c0e8f,797695J16911090,إطار بصري مستطيل الشكل,EYEWEAR,3/3/2025,"تجمع مجموعة ما قبل الخريف 2024 للنظارات بنجاح ما بين التصاميم التي كانت رائجة في العقود المنصرمة وطابع الشعار العصري. وفي هذا التصميم، يتم تنسيق إطار مصنوع بتقنية الحقن باللون الأسود اللامع مع شعار Gucci.",4,350,5,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1720422003/797695_J1691_1090_001_100_0000_Light.jpg
44a33598-58fe-4423-97b7-0e9def3c0e8f,7923863HA1Z1000,قبعة بيسبول من الكانفاس مزيّنة بشعار Gucci,SOFT ACCESSORIES,6/5/2021,"يزيّن اسم شعار الدار هذه القبعة المصنوعة من الكانفاس باللون الأسود، وهو رمز خالد يكرّم الأجواء الأيقونية التي تتميّز بها دار غوتشي.",4,550,6,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1712253682/792386_3HA1Z_1000_001_100_0000_Light.jpg
44a33598-58fe-4423-97b7-0e9def3c0e8f,747954AAB8C9110,حذاء سنيكرز MAC80 للنساء,WOMENS SHOES,9/15/2023,"يحاكي شعار G متشابك غير واضح القِصّة المرهفة التي ترويها المجموعة. يتم تقديم الشعار فوق جلد باللون الأبيض السكَّري، وهو يعيد شعار الدار إلى الواجهة في هذا التصميم لحذاء سنيكرز المستوحى من أسلوب ريترو.",4,980,7,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1678383924/747954_AAB8C_9110_001_100_0000_Light.jpg
44a33598-58fe-4423-97b7-0e9def3c0e8f,702721U3ZDT1073,حقيبة اليد الكبيرة صغيرة الحجم Gucci Diana,HANDBAGS,2/8/2020,"تجمع حقيبة اليد بالحجم الصغير العناصر التي تشتهر بها الدار، وتتميّز بمقبضَين من البامبو والقطعة المعدنية لشعار G المزدوج. ويتميّز الإكسسوار المصنوع من الجلد باللون الأسود بتفاصيل حزامَين ملوّنَين، في لفتة مرحة إلى الأحزمة المُستخدمة للحفاظ على شكل المقابض.",4,4300,8,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1695390322/702721_U3ZDT_1073_001_076_0000_Light.jpg
81a1625f-e18b-4964-9de8-4188b8539f51,694614XNAPL2325,جاكيت بومبر من الجلد,MENS RTW,8/26/2021,لا يزال جاكيت البومبر يشكل جزءاً جوهرياً من مجموعات غوتشي. مصنوع من جلد النابا الناعم مع تفصيل نقش ويب مخفي على الياقة الداخلية.,3,5100,9,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1698688949/694614_XNAPL_2325_001_100_0000_Light.jpg
81a1625f-e18b-4964-9de8-4188b8539f51,798715AADPJ6207,حقيبة كتف GG Marmont صغيرة,HANDBAGS,1/26/2022,"لطالما دمجت مجموعة GG Marmont بين الأقمشة والتصاميم المبتكرة، ولمجموعة ما قبل الخريف، يعزّز جيبان مزوّدان بسحّاب على الجهة الخارجية أكثر الشكل الهندسي الاستثنائي والأناقة المميّزة للجلد المبطن بتصميم شيفرون. تكتمل حقيبة الكتف الصغيرة هذه بالتدرج اللوني Gucci Rosso Ancora ببطانة داخلية من الجلد باللون العاجي وبقطعة معدنية بلمسات نهائية باللون الذهبي الفاتح وبحزام كتف قابل للتعديل من الجلد وعلى شكل سلسلة.",3,2500,10,https://media.gucci.com/style/DarkGray_Center_0_0_2400x2400/1710180966/798715_AADPJ_6207_001_068_0000_Light.jpg
